注文書型、注文請書型の契約書の裏面には、その契約書作成企業のどの取引にも共通する「一般取引条件」が印刷されている。,1,正,誤
印刷条項は、取引交渉時に取引条件として取り上げて交渉し、輸出者と輸入者とで合意されているものなので、タイプ条項と矛盾が生じた場合、印刷条項が優先される。,2,正,誤
貿易取引は「諾成契約」なので一方が示したオファーを他方が承諾すれば口頭でも契約は成立する。,1,正,誤
日本から外国に貨物を輸出する場合、国内関係法により輸出に関し、経済産業大臣の許認可の取得が義務付けられている場合には、輸 出通関手続きの前後を問わず、船積み前までに許認可を取得しなくてはいけない。,2,正,誤
輸出貿易管理令別表第1に掲げられている戦略物資を輸出する場合には、経済産業大臣の輸出承認を取得しなければ、税関長は当該貨物についての輸出許可をしない。,2,正,誤
輸入割当品目に該当する貨物を輸入する場合、経済産業大臣の輸入承認を受ければ輸入割当を受ける必要は無い。,2,正,誤
食品を輸入する場合、食品衛生法により、「食品等輸入届出書」の提出が義務付けられている。,1,正,誤
取引先を確保するために積極的な売り込みをすることを Inquiry と言う。,2,正,誤
売り手からのファームオファーに対して、その回答期限内にカウンターオファーを行った場合、それは当初のファームオファーに対する、部分的な変更とみなされる。,2,正,誤
「信用調査」における3Cとは誠実性(Character)、資本力 (Capital)、企業環境(Conditions)の3つを指す。,2,正,誤
