直接貿易には、代理店契約や販売店契約を結び、現地での買い付けや販売を現地の企業に代行してもらう形態もある。,2,正,誤
並行輸入とは、ブランド品と呼ばれる海外の商品や模造品を、日本の総代理店を通さずに輸入することである。,2,正,誤
メーカーなどが、自社のブランドを付けたオリジナル商品の完成品などを海外のメーカーに製造させ、その全量を輸入する形態を開発輸入という。,2,正,誤
船会社に対する手続きを代行する専門業者を(A. 海貨業者、B. 検量業者)がというが最近では一貫した業務を遂行する為、税関の手続きも合わせて代行することが多い。,1, 海貨業者,検量業者
海外の受託者に原材料や部品を提供し、それを受託者に加工させ、出来た製品を輸入する形態を「委託加工貿易」というが、委託者が日本にある業者の場合、(A 逆委託加工貿易 B 順委託加工貿易)という。,1,逆委託加工貿易,順委託加工貿易
銀行が外国にある銀行と為替取引を行なうために必要な業務上の諸条件をあらかじめ定めたものを( 　　　　　 )という。,1,コルレス契約,銀行取引約定書
輸出入の通関手続や船積み、荷受手続等を代行している業者を一般的に( 　　　 )という。,1,海貨業者(乙仲),複合運送人
特定国に与えられた最も有利な貿易条件は全加盟国に平等に与えられなければいけない。これは、最恵国待遇についての文章である。,1,正,誤
海外の企業による自国への直接投資を「対外直接投資」と言う。,1,正,誤
WTOの成立に伴い、GATT(関税と貿易に関する一般協定)は廃止された。,2,正,誤
ウルグアイラウンド交渉の成果、実施、運営管理する機関としてWTOは設立された。,1,正,誤
WTO加盟国は、WTO協定書の付属書1から3の全ての規定を一括して受諾しなくてはいけない。,1, 正,誤
