「東アジア共同体」構想とは、東アジアにおいて経済を中心に、環境、テロ、国際犯罪対策などの幅広い分野の協力をめざす地域的枠組みをいう。,1,正,誤
WTOは、1944年に締結されたブレトン・ウッズ協定に基づいて設立された国際機関であり、新しい世界の貿易秩序をめざして設立された。,2,正,誤
税関職員が輸入貨物中に知的財産侵害権の疑いがある貨物があると思科したときは、その貨物は認定手続きを経ることなく、直ちに没収される。,2,正,誤
著作権が侵害されている貨物が輸入されている場合には、権利者は文化庁に輸入差止申立てを行うことができる。,2,正,誤
回路配置利用権侵害物品は「輸出してはならない貨物」である。,2,正,誤
経済、通貨統合、政治統合を推進するため、それまでのEC(欧州共同体)からEU(欧州連合)へ発展させようと1993年に発効された条約を(　　　)という。,1,マーストリヒト条約,アムステルダム条約
最恵国待遇の例外として、先進国が途上国に対して関税上の優遇措置を与える一般(　　　　)制度やFTAが認められている。,2,関税割り当て,特恵関税
有害廃棄物の国境を越える移動およびその処分の規制に関する条約は？。,1,バーゼル条約,ワシントン条約
オゾン層を保護しようとする国際的取り決めがなされた条約は？,2,ワシントン条約,ウィーン条約
絶滅の危機にある野生動植物の保護に関する条約は？,1,ワシントン条約,バーゼル条約
