「インコタームズ」とはICC (国際商業会議所)が貿易条件の 解釈に関する国際規則として制定した法律である。,2,正,誤
FOB契約で本邦の横浜港からアメリカのニューヨークに輸出する場合、「FOB NewYork」 という表示になる。,2,正,誤
CIPとは輸入国指定地までの輸送費・保険料込みの運送人渡し条件のことで危険負担は売主によって指名された運送人に貨物を引き渡した時に売主から買主に移転する。,1,正,誤
中等品質条件(Fair Average Quality Terms: FAQ)とは、農産品等を収穫する前に売買する場合、中等品質を規定して品質がこれより良ければプレミアム、劣っていればディスカウントする方式である。,1,正,誤
一口に重量トンといっても、それがフランストンなのか、イギリストンなのか、アメリカトンなのか確認する必要がある。,1,正,誤
契約上の貿易条件がFOBの場合、B/L上の運賃表示には通常「Freight Collect」(運賃後払い)と表示される。,1,正,誤
インコタームズは費用負担の範囲と貨物の危険負担の範囲、更に所有権の移転について規定したものである。,2,正,誤
インコタームズを貿易条件として使用する場合、国際協定により、最新版(2020年版)の使用が義務付けられている。,2,正,誤
輸入取引の条件がDDPの場合、本邦到着後の通関手続及び 関税納付は輸出者が行う。,1,正,誤
インコタームズのFAS条件の場合は貨物が指定船積み港において買主の指名した本船の船上に置かれた時、危険負担、費用負担共に売主から買主に移転する。,2,正,誤
